word, attempts, failed, match loop, required loop, allowed loop
paste, 6828, 25, 5244548, 138909, 8501869
scold, 6986, 30, 5515919, 83640, 7566744
spunk, 7122, 30, 5201225, 139474, 7928112
stole, 6792, 31, 5083708, 85546, 7717278
scope, 6951, 31, 5343519, 109196, 7799936
plant, 6794, 32, 4880691, 101848, 7893410
slunk, 6997, 32, 5153668, 95337, 7631634
spilt, 6773, 33, 5136879, 119063, 7782904
false, 7015, 33, 5309258, 116264, 8282003
scowl, 7064, 33, 5467470, 111658, 7786539
slump, 7116, 33, 5373823, 155538, 7813174
clump, 7166, 33, 5004439, 152011, 7803248
smock, 7260, 33, 5570335, 109382, 7858685
sport, 6797, 34, 5106340, 136096, 7960081
stone, 6819, 34, 5042621, 93995, 7835640
slurp, 6864, 34, 5172630, 132627, 7673170
spent, 6919, 34, 5129442, 116488, 7996651
blimp, 7058, 34, 4690263, 101644, 7179193
skimp, 7174, 34, 5259081, 148398, 7848088
slate, 6576, 35, 5208110, 67158, 7641903
scone, 6843, 35, 5243364, 80430, 7697252
spelt, 6849, 35, 5138670, 117898, 7888997
lapse, 6892, 35, 5248664, 154936, 8511030
slant, 6667, 36, 5293869, 91527, 7775828
slept, 6866, 36, 5096130, 111566, 7753055
spire, 6869, 36, 5123544, 116231, 7905172
spend, 6970, 36, 5246480, 93389, 7720945
spade, 6977, 36, 5496376, 73128, 7706833
ralph, 7094, 36, 5017659, 108227, 7761036
plush, 7164, 36, 5225510, 201732, 8413786
speck, 7262, 36, 5580772, 102311, 8015221
swamp, 7317, 36, 5750743, 148133, 8181901
stale, 6642, 37, 5241951, 66710, 7667157
snarl, 6756, 37, 5364938, 73601, 7736601
saute, 6856, 37, 5490834, 75765, 8007004
burst, 6925, 37, 5034048, 152545, 8367095
spurn, 6949, 37, 5225109, 144184, 7997901
spoil, 6957, 37, 5259400, 110474, 7787712
slung, 7076, 37, 5326769, 98380, 7602899
waste, 7076, 37, 5413166, 141358, 8869893
splat, 6795, 38, 5319556, 109826, 7774011
noble, 6799, 38, 4705119, 67094, 7440979
caste, 6806, 38, 5378551, 122499, 8555899
split, 6808, 38, 5163430, 117909, 7910893
spurt, 6863, 38, 5179572, 152997, 8035794
spite, 6867, 38, 5220681, 113458, 8118864
stage, 6886, 38, 5471908, 72551, 7843575
sober, 6898, 38, 5433703, 66084, 7640422
those, 6945, 38, 5242489, 137744, 8672439
space, 6963, 38, 5639082, 79604, 7862833
shone, 6999, 38, 5218795, 89025, 7779107
salvo, 7115, 38, 5605921, 96610, 7857327
sneak, 7133, 38, 5475637, 71018, 7800756
dwelt, 7167, 38, 4786445, 115230, 8153430
dutch, 7194, 38, 5146361, 121188, 8173661
chump, 7307, 38, 5128045, 196407, 8136494
strap, 6869, 39, 5402462, 130032, 8073973
islet, 6902, 39, 4790945, 142311, 8586885
storm, 6907, 39, 5125669, 121062, 7710424
onset, 6922, 39, 4779324, 172285, 8606554
shade, 6992, 39, 5541985, 57249, 7703059
sperm, 7019, 39, 5209981, 131239, 7853090
sling, 7036, 39, 5292823, 92049, 7535696
salve, 7076, 39, 5554770, 66407, 7845893
stave, 7083, 39, 5542805, 84980, 8069236
blame, 7085, 39, 5334003, 60828, 7805907
bench, 7125, 39, 5198789, 76218, 7672028
stock, 7161, 39, 5519702, 91103, 7834050
spear, 6906, 40, 5380064, 100768, 7920337
meant, 6908, 40, 4915980, 88387, 8030278
slope, 6921, 40, 5182296, 103962, 7730328
haste, 6953, 40, 5213621, 127004, 8586594
worst, 7021, 40, 5050533, 175648, 8671627
ample, 7061, 40, 5061330, 113233, 8013011
pause, 7086, 40, 5422359, 112331, 8371164
screw, 7111, 40, 5484605, 112364, 8006852
belch, 7151, 40, 5202340, 79355, 7587572
syrup, 7158, 40, 5315841, 143659, 8065723
crump, 7159, 40, 5020338, 158530, 7855495
shrub, 7200, 40, 5583281, 115702, 7829241
flunk, 7233, 40, 4763607, 111371, 7666589
shock, 7239, 40, 5590356, 100474, 7814107
least, 6615, 41, 5166040, 136598, 8567038
leant, 6680, 41, 4823347, 79245, 7936649
scorn, 6790, 41, 5227195, 109061, 7730410
