word, attempts, failed, match loop, required loop, allowed loop
paste, 6828, 25, 1861973, 138926, 5123542
scold, 6986, 30, 1244769, 83997, 3312463
spunk, 7122, 30, 1505617, 139474, 4232504
stole, 6792, 31, 1581565, 85580, 4221914
scope, 6951, 31, 1372366, 109196, 3828783
plant, 6794, 32, 1810557, 101848, 4823276
slunk, 6997, 32, 1505593, 95354, 3987467
spilt, 6773, 33, 1470376, 119097, 4119068
false, 7015, 33, 1825306, 116281, 4801364
scowl, 7064, 33, 1334633, 112185, 3667396
slump, 7116, 33, 1375147, 155538, 3814498
clump, 7166, 33, 1612454, 152011, 4411263
smock, 7260, 33, 1320199, 110028, 3617334
sport, 6797, 34, 1587386, 136402, 4446582
stone, 6819, 34, 1621796, 94012, 4417635
slurp, 6864, 34, 1523759, 132627, 4024299
spent, 6919, 34, 1522522, 116488, 4389731
blimp, 7058, 34, 1576577, 101763, 4071980
skimp, 7174, 34, 1389643, 148449, 3984902
slate, 6576, 35, 1530014, 67175, 3967783
scone, 6843, 35, 1458555, 80430, 3912443
spelt, 6849, 35, 1489635, 117932, 4247181
lapse, 6892, 35, 1928810, 154936, 5191176
slant, 6667, 36, 1507798, 91527, 3989757
slept, 6866, 36, 1499172, 111600, 4163316
spire, 6869, 36, 1576876, 116231, 4358504
spend, 6970, 36, 1354875, 93406, 3834249
spade, 6977, 36, 1321381, 73128, 3531838
ralph, 7094, 36, 1847914, 108227, 4591291
plush, 7164, 36, 1789145, 201732, 4977421
speck, 7262, 36, 1324451, 102311, 3758900
swamp, 7317, 36, 1367220, 148150, 3802150
stale, 6642, 37, 1521529, 66744, 3953531
snarl, 6756, 37, 1537087, 73601, 3908750
saute, 6856, 37, 1649938, 75782, 4170424
burst, 6925, 37, 1917324, 152562, 5253310
spurn, 6949, 37, 1576917, 144184, 4349709
spoil, 6957, 37, 1511775, 110678, 4053118
slung, 7076, 37, 1406408, 98941, 3696757
waste, 7076, 37, 2004030, 141392, 5467842
splat, 6795, 38, 1413467, 109826, 3867922
noble, 6799, 38, 1840505, 67230, 4589311
caste, 6806, 38, 1870483, 122652, 5056752
split, 6808, 38, 1521832, 117960, 4274799
spurt, 6863, 38, 1571129, 153609, 4433129
spite, 6867, 38, 1585801, 113509, 4490865
stage, 6886, 38, 1444640, 72568, 3820487
sober, 6898, 38, 1419524, 66679, 3631970
those, 6945, 38, 1946465, 137744, 5376415
space, 6963, 38, 1328345, 79604, 3552096
shone, 6999, 38, 1565605, 89025, 4125917
salvo, 7115, 38, 1510287, 97171, 3772839
sneak, 7133, 38, 1473203, 71018, 3798322
dwelt, 7167, 38, 1893626, 115247, 5263431
dutch, 7194, 38, 1743949, 121188, 4771249
chump, 7307, 38, 1657439, 196407, 4665888
strap, 6869, 39, 1523418, 131001, 4201470
