Total, count, 1, count, 2, count, 3, count, 4, count, 5, count
e, 1233, s, 366, a, 304, a, 307, e, 318, e, 424
a, 979, c, 198, o, 279, i, 266, n, 182, y, 364
r, 899, b, 173, r, 267, o, 244, s, 171, t, 253
o, 754, t, 149, e, 242, e, 177, a, 163, r, 212
t, 729, p, 142, i, 202, u, 165, l, 162, l, 156
l, 719, a, 141, l, 201, r, 163, i, 158, h, 139
i, 671, f, 136, u, 186, n, 139, c, 152, n, 130
s, 669, g, 115, h, 144, l, 112, r, 152, d, 118
n, 575, d, 111, n, 87, t, 111, t, 139, k, 113
c, 477, m, 107, t, 77, s, 80, o, 132, a, 64
u, 467, r, 105, p, 61, d, 75, u, 82, o, 58
y, 425, l, 88, w, 44, g, 67, g, 76, p, 56
d, 393, w, 83, c, 40, m, 61, d, 69, m, 42
h, 389, e, 72, m, 38, p, 58, m, 68, g, 41
p, 367, h, 69, y, 23, b, 57, k, 55, s, 36
m, 316, v, 43, d, 20, c, 56, p, 50, c, 31
g, 311, o, 41, b, 16, v, 49, v, 46, f, 26
b, 281, n, 37, s, 16, y, 29, f, 35, w, 17
f, 230, i, 34, v, 15, w, 26, h, 28, b, 11
k, 210, u, 33, x, 14, f, 25, w, 25, i, 11
w, 195, q, 23, g, 12, k, 12, b, 24, x, 8
v, 153, j, 20, k, 10, x, 12, z, 20, z, 4
z, 40, k, 20, f, 8, z, 11, x, 3, u, 1
x, 37, y, 6, q, 5, h, 9, y, 3, j, 0
q, 29, z, 3, j, 2, j, 3, j, 2, q, 0
j, 27, x, 0, z, 2, q, 1, q, 0, v, 0
