word, attempts, failed, match loop, required loop, allowed loop
bleed, 7125, 31, 1682713, 64088, 4302252
bleep, 7152, 31, 1679971, 65449, 4324936
meant, 6921, 33, 1817795, 59967, 4503342
blame, 6922, 33, 1724437, 66508, 4346628
scope, 6884, 34, 1347940, 94023, 3688166
space, 6872, 35, 1378182, 66326, 3589115
scold, 6985, 35, 1477552, 98171, 3939400
scamp, 7044, 35, 1337173, 121476, 3600892
plane, 6772, 36, 1823442, 58055, 4525479
clasp, 6796, 36, 1534879, 106376, 4030081
spite, 6809, 36, 1418290, 74005, 3833884
split, 6817, 36, 1472021, 94645, 3986523
blast, 6902, 36, 1468738, 76142, 3828759
chasm, 7092, 36, 1559413, 104108, 4070779
strip, 6839, 37, 1443691, 108244, 3886912
palsy, 6904, 37, 1661763, 115409, 4320751
chant, 6942, 37, 1752868, 71564, 4473274
grasp, 7005, 37, 1584358, 91127, 4017484
scram, 7029, 37, 1398130, 95745, 3706166
shelf, 7092, 37, 1500379, 114843, 4012229
swamp, 7286, 37, 1512720, 133803, 4042792
slant, 6753, 38, 1503633, 63219, 3809451
plant, 6781, 38, 1740784, 62067, 4359328
place, 6825, 38, 1768698, 65928, 4428142
onset, 6836, 38, 1667849, 86806, 4421949
islet, 6863, 38, 1647190, 87430, 4459258
smote, 6882, 38, 1425264, 73733, 3813697
belch, 7088, 38, 1669323, 100186, 4333200
spent, 6799, 39, 1336888, 74088, 3660502
depot, 6875, 39, 1731686, 88137, 4476938
pedal, 6880, 39, 1827557, 82247, 4567569
scrap, 6907, 39, 1349807, 95498, 3574901
pride, 7003, 39, 1817761, 78499, 4610995
shape, 7039, 39, 1460501, 75606, 3739765
swept, 7068, 39, 1331836, 105802, 3712863
smack, 7192, 39, 1502160, 105204, 4005758
beast, 6811, 40, 1444124, 67714, 3654926
abled, 6881, 40, 1886725, 108138, 4946622
baste, 6885, 40, 1500158, 71136, 3838660
blade, 6886, 40, 1704735, 63344, 4308086
smite, 6898, 40, 1460842, 77277, 3940617
copse, 6905, 40, 1493020, 87743, 3983552
those, 6928, 40, 1653103, 80611, 4353421
ralph, 7002, 40, 1936184, 104435, 4746862
phase, 7023, 40, 1565479, 72416, 3992535
march, 7039, 40, 1781210, 101179, 4485667
thank, 7160, 40, 1944166, 71945, 4950356
dealt, 6723, 41, 1785032, 54973, 4398501
slept, 6767, 41, 1330490, 77902, 3538594
scone, 6841, 41, 1424712, 73172, 3792233
decal, 6870, 41, 1815403, 83679, 4605273
cable, 6917, 41, 1787520, 88493, 4574991
spend, 6950, 41, 1392053, 86290, 3810700
camel, 6951, 41, 1783972, 78999, 4454072
sadly, 7018, 41, 1616732, 76355, 4084618
spawn, 7097, 41, 1451503, 104438, 3846694
crest, 6721, 42, 1496800, 83796, 3963097
spilt, 6812, 42, 1475670, 92287, 3964700
borne, 6887, 42, 1759157, 52507, 4325459
crisp, 6893, 42, 1522268, 107214, 3979460
sober, 6929, 42, 1474967, 77658, 3744352
pesto, 6934, 42, 1532727, 100695, 4043586
ample, 7033, 42, 1891954, 112069, 4937596
snack, 7125, 42, 1553044, 75814, 4022513
shack, 7218, 42, 1538491, 77829, 3913768
smock, 7282, 42, 1462619, 141684, 4026699
splat, 6734, 43, 1409569, 86204, 3685840
plate, 6745, 43, 1716678, 49639, 4268580
table, 6757, 43, 1850900, 86671, 4739401
spelt, 6776, 43, 1349868, 82531, 3649411
slope, 6819, 43, 1471663, 73916, 3815387
maple, 6925, 43, 1894934, 92460, 4803234
sharp, 6947, 43, 1488594, 84299, 3729433
pried, 6971, 43, 1825080, 66280, 4563890
snake, 6988, 43, 1536191, 60609, 3911507
phone, 6990, 43, 1892099, 73486, 4795916
model, 7005, 43, 1852716, 70315, 4580829
tempo, 7039, 43, 1749633, 117200, 4539312
slack, 7058, 43, 1581874, 79922, 4018771
amble, 7073, 43, 1869521, 130864, 5019616
crump, 7124, 43, 1752299, 118060, 4465100
flesh, 7136, 43, 1575104, 114216, 4212276
speed, 7400, 43, 1439707, 90405, 3968785
coast, 6768, 44, 1558530, 79763, 3942654
stone, 6780, 44, 1485562, 64122, 3884755
sport, 6793, 44, 1470846, 91649, 3928032
slice, 6798, 44, 1477749, 65543, 3799135
trope, 6894, 44, 1791372, 80702, 4510710
scald, 6908, 44, 1447378, 90769, 3814893
spade, 6933, 44, 1442160, 71179, 3750802
clamp, 6974, 44, 1735448, 103576, 4439371
mange, 7072, 44, 1880992, 69036, 4703184
